City,Population,Total,Murder / Manslaughter,Rape,Robbery,Aggravated Assault,Burglary,Larceny-Theft,Motor Vehicle Theft
Albuquerque,559721,965.8,7.7,72.2,301.2,584.8,1071.2,4076.7,925.3
Anaheim,349471,363.7,5.2,36.9,125.6,196,422.4,1972.4,477.6
Anchorage,301239,1070.9,8.6,171.6,206.1,684.5,559.4,2975,383.1
Arlington,387565,502.1,2.1,53.7,136.5,309.9,559.9,2657.1,226.5
Atlanta,464710,1119.6,20.2,36.6,429.3,633.5,1028.8,3549.1,921.4
Aurora,360237,460.8,6.7,97.7,124.1,232.3,467.2,2119.4,350
Austin,938728,372.5,2.5,51.9,99,219.2,532.6,2990,248.3
Bakersfield,373887,484.1,5.9,19,175.2,284,1036.9,2484.2,640.3
Baltimore,621252,1535.9,57.8,46.2,694.2,740.1,1248.6,2842.3,889.5
Boston,665258,706.8,5.7,36.1,233.1,431.9,354.3,1769.5,192.3
Buffalo,258096,1118.6,15.9,67,400.2,635.4,1076,2875.3,378.9
Chandler,258875,189.3,0.4,30.5,44,114.3,297.4,1686.9,98.9
Charlotte-Mecklenburg,877817,677.6,6.9,24.6,221.8,424.2,769.5,2744.4,253.9
Chicago,2728695,903.8,23.8,52.5,353.6,480.2,482,2089.7,374.6
Chula Vista,265215,265.8,2.3,23.8,90.1,149.7,267.7,1166.2,307.7
Cincinnati,298478,925,22.1,79.1,423.1,400.7,1478.5,3642.8,388.6
Cleveland*,388655,1334.3,16.2,124,769.3,424.8,1787.7,2659.2,987.5
Colorado Springs,452410,438.3,5.5,75.4,83.1,274.3,533.6,2732.7,381.7
Columbus,860090,546.3,9.1,95.1,264.2,177.9,851.6,2715.6,367.2
Corpus Christi,324326,645,5.2,86.9,121.5,431.4,674.6,2632.8,158.2
Dallas,1301977,694.2,10.4,60.1,320.8,302.8,854.2,2002.8,583.3
Denver,682418,673.9,7.8,80.3,180.2,405.6,697.8,2192.5,639.6
Detroit,673225,1759.6,43.4,78.7,513.5,1123.5,1161.6,2157.2,774.8
Durham,257911,847.2,13.2,28.7,286.1,519.2,1234.5,2644.7,236.5
El Paso,686077,366.6,2.5,46.9,59.8,257.4,206.8,1591.1,116.3
Fort Wayne,259712,378.9,9.6,37.3,171.7,160.2,569.9,2360.7,127.8
Fort Worth,829731,525.4,6.7,62.2,118.2,338.2,723.7,2589.9,272.1
Fresno,520837,551.2,7.5,32.1,194.3,317.4,850.4,2723.3,574.7
Greensboro,285950,597,9.1,25.2,185.3,377.3,828.5,2551.5,188.5
Henderson,282554,168.5,1.4,34.7,63.7,68.7,479.9,1225.6,187.6
